zname,ename,lon,lat,geohash
iBike1.0_南屯區公所,iBike1.0_Nantun District Office,120.64454,24.13467,wsmc33ddt
iBike1.0_長福公園,iBike1.0_Changfu Park,120.70205,24.14402,wsmc6ek91
iBike1.0_臺中加工出口區,iBike1.0_Taichung Export Processing Zone ,120.70539,24.21707,wsmcf8wfx
iBike1.0_立法院中部辦公室,"iBike1.0_Central Region Office, The Legislative Yuan",120.69742,24.05584,wsmbfe1pm
iBike1.0_臺中市議會,iBike1.0_Taichung City Council,120.64403,24.15805,wsmc3mf6c
iBike1.0_五權西忠明南路口,iBike1.0_Wuquan W./ Zhongming S.,120.65708,24.13977,wsmc3deb3
iBike1.0_美術館園道,iBike1.0_Art Museum Parkway,120.66287,24.13508,wsmc3c8j0
iBike1.0_烏日國小,iBike1.0_Wurih Elementary School,120.62334,24.10829,wsmc0ug0z
iBike1.0_長青活動中心,iBike1.0_ Chang Cing Activity Center,120.62702,24.34069,wsmf2zjfv
iBike1.0_文昌國小,iBike1.0_Wenchang Elementary School,120.62419,24.34761,wsmf8b7g5
iBike1.0_順天國小,iBike1.0_Shuen Tian Elementary School,120.61746,24.34415,wsmf2xwyy
iBike1.0_文修公園,iBike1.0_Wen Xiu Park,120.642,24.18234,wsmc962b6
iBike1.0_北屯國小,iBike1.0_Bei Tun Elementary School,120.69081,24.16416,wsmc6quq7
iBike1.0_上德公園,iBike1.0_Shang De Park,120.64451,24.16931,wsmc3rfsk
iBike1.0_屯區藝文中心,iBike1.0_Taichung City Tun District Art Center,120.73374,24.1566,wsmc7medk
iBike1.0_益民國小,iBike1.0_Yi-Min Elementary School,120.68673,24.10674,wsmc4k3ru
iBike1.0_文心南六大墩南路口,iBike1.0_Wenxin S.6th Rd./Dadun S. Rd,120.6492,24.13082,wsmc32yh4
iBike1.0_國安國小,iBike1.0_Guo An Elementary School,120.60709,24.19398,wsmc8krkh
iBike1.0_祥和公園,iBike1.0_Xiang He Park,120.72322,24.16547,wsmc7p5yn
iBike1.0_國立中興大學(中興湖),iBike1.0_National Chung Hsing University( Chung Hsing lake),120.67369,24.12043,wsmc1yzzs
iBike1.0_新泰安火車站,iBike1.0_Tai'an Railway Station,120.74164,24.33059,wsmf7t1ru
iBike1.0_泰安鐵道文化園區,iBike1.0_Taian Railway Cultural Park,120.748,24.32256,wsmf7ey10
iBike1.0_大慶火車站,iBike1.0_Daqing Railway Station,120.64747,24.11859,wsmc1qsuc
iBike1.0_潭子火車站,iBike1.0_Tanzi Railway Station,120.70605,24.2116,wsmcdxx6y
iBike1.0_社皮公園,iBike1.0_Shepi Park,120.70472,24.24451,wsmcftw6x
iBike1.0_臺中特殊教育學校,iBike1.0_Taichung Special Education School,120.6426,24.15139,wsmc3k9k0
iBike1.0_潭秀國中,iBike1.0_Tan Show Junior High School,120.70029,24.21615,wsmcf87m2
iBike1.0_富春國小,iBike1.0_Fu Chuen Elementary School,120.71288,24.25164,wsmcfyukj
iBike1.0_犁頭店公園,iBike1.0_Litoudian Park,120.64057,24.14234,wsmc34zz3
iBike1.0_文化公園,iBike1.0_Wenhua Park,120.70038,24.09515,wsmc4d7k6
iBike1.0_三和派出所,iBike1.0_Sanhe Police Station,120.60332,24.1081,wsmc0ksxv
iBike1.0_旭光國小,iBike1.0_Shiukuang Elementary School,120.59415,24.11109,wsmc0jmcr
iBike1.0_東光園大智路口,iBike1.0_Dongguangyuan Rd. / Dazhi Rd.,120.69065,24.12473,wsmc4ru0x
iBike1.0_軍福公園,iBike1.0_Junfu Park,120.71491,24.18006,wsmcdcvgj
iBike1.0_東福公園,iBike1.0_Dongfu Park,120.70398,24.13421,wsmc69mzy
iBike1.0_文心崇德路口,iBike1.0_Sec.4 Wenxin Rd./Sec.2 Chongde Rd.,120.68567,24.17192,wsmcd22ee
iBike1.0_臺中至善公園,iBike1.0_Taichung Zhishan Park,120.64209,24.17492,wsmc92bvh
iBike1.0_大甲高工,iBike1.0_Dajia Industrial High School,120.63969,24.34661,wsmf90pjk
iBike1.0_光德國中,iBike1.0_Guang De Junior High School,120.64057,24.10539,wsmc1hrb1
iBike1.0_沙鹿區公所,iBike1.0_Shalu District Office,120.56586,24.23392,wsm9ze9ku
iBike1.0_塗城里活動中心,iBike1.0_Tucheng Community Center,120.72201,24.08655,wsmc50g46
iBike1.0_大明國小,iBike1.0_Da Ming Elementary School,120.6431,24.22857,wsmcc69te
iBike1.0_大華國中,iBike1.0_Dahwa Junior High School,120.64953,24.21543,wsmcc2q31
iBike1.0_大雅國中,iBike1.0_Daya Junior High School,120.6495,24.22432,wsmcc3ykc
iBike1.0_大雅公園,iBike1.0_Daya Park,120.64709,24.22345,wsmcc3sxb
iBike1.0_青海公園,iBike1.0_Qinghai Park,120.65353,24.16421,wsmc3wcnx
iBike1.0_新建國市場(1號門),iBike1.0_New Jianguo Market (Gate 1),120.69581,24.13496,wsmc698h2
iBike1.0_外埔區公所,iBike1.0_Waipu District Office,120.65459,24.33212,wsmf3t9bz
