code,continent,Entity,Year,type,source,value
BRB,North America,Barbados,2020,fossil,gas,0.0
BLR,Europe,Belarus,2020,fossil,gas,34.45
BEL,Europe,Belgium,2020,fossil,gas,26.78
BLZ,North America,Belize,2020,fossil,gas,0.0
BEN,Africa,Benin,2020,fossil,gas,0.0
BTN,Asia,Bhutan,2020,fossil,gas,0.0
BOL,South America,Bolivia,2020,fossil,gas,5.87
BIH,Europe,Bosnia and Herzegovina,2020,fossil,gas,0.0
BWA,Africa,Botswana,2020,fossil,gas,0.0
BRA,South America,Brazil,2020,fossil,gas,51.78
VGB,North America,British Virgin Islands,2020,fossil,gas,0.0
BDI,Africa,Brunei,2020,fossil,gas,2.21
BGR,Europe,Bulgaria,2020,fossil,gas,2.29
BFA,Africa,Burkina Faso,2020,fossil,gas,0.0
BDI,Africa,Burundi,2020,fossil,gas,0.0
KHM,Asia,Cambodia,2020,fossil,gas,0.0
CMR,Africa,Cameroon,2020,fossil,gas,0.0
CAN,North America,Canada,2020,fossil,gas,67.09
CPV,Africa,Cape Verde,2020,fossil,gas,0.0
CYM,North America,Cayman Islands,2020,fossil,gas,0.0
CAF,Africa,Central African Republic,2020,fossil,gas,0.0
TCD,Africa,Chad,2020,fossil,gas,0.0
CHL,South America,Chile,2020,fossil,gas,15.92
CHN,Asia,China,2020,fossil,gas,246.97
COL,South America,Colombia,2020,fossil,gas,15.1
COM,Africa,Comoros,2020,fossil,gas,0.0
COG,Africa,Congo,2020,fossil,gas,2.13
COK,Oceania,Cook Islands,2020,fossil,gas,0.0
CRI,North America,Costa Rica,2020,fossil,gas,0.0
CIV,Africa,Cote d'Ivoire,2020,fossil,gas,5.23
HRV,Europe,Croatia,2020,fossil,gas,3.44
CUB,North America,Cuba,2020,fossil,gas,1.5
CYP,Asia,Cyprus,2020,fossil,gas,0.0
CZE,Europe,Czechia,2020,fossil,gas,6.87
COD,Africa,Democratic Republic of Congo,2020,fossil,gas,0.0
DNK,Europe,Denmark,2020,fossil,gas,1.18
DJI,Africa,Djibouti,2020,fossil,gas,0.0
DMA,North America,Dominica,2020,fossil,gas,0.0
DOM,North America,Dominican Republic,2020,fossil,gas,5.49
ZAF,Africa,Eastern Africa,2020,fossil,gas,
ECU,South America,Ecuador,2020,fossil,gas,1.1
EGY,Africa,Egypt,2020,fossil,gas,130.2
SLV,North America,El Salvador,2020,fossil,gas,0.2
GNQ,Africa,Equatorial Guinea,2020,fossil,gas,0.0
ERI,Africa,Eritrea,2020,fossil,gas,0.0
EST,Europe,Estonia,2020,fossil,gas,0.03
SWZ,Africa,Eswatini,2020,fossil,gas,0.0
ETH,Africa,Ethiopia,2020,fossil,gas,0.0
FRO,Europe,Faroe Islands,2020,fossil,gas,0.0
FLK,South America,Falkland Islands,2020,fossil,gas,0.0
FJI,Oceania,Fiji,2020,fossil,gas,0.0
FIN,Europe,Finland,2020,fossil,gas,3.99
FRA,Europe,France,2020,fossil,gas,35.32
GUF,South America,French Guiana,2020,fossil,gas,0.0
PYF,Oceania,French Polynesia,2020,fossil,gas,0.0
GAB,Africa,Gabon,2020,fossil,gas,0.0
GMB,Africa,Gambia,2020,fossil,gas,0.0
GEO,Asia,Georgia,2020,fossil,gas,2.65
DEU,Europe,Germany,2020,fossil,gas,95.37
GHA,Africa,Ghana,2020,fossil,gas,8.63
GRC,Europe,Greece,2020,fossil,gas,19.23
GRL,North America,Greenland,2020,fossil,gas,0.0
GRD,North America,Grenada,2020,fossil,gas,0.0
GLP,North America,Guadeloupe,2020,fossil,gas,0.0
GUM,Oceania,Guam,2020,fossil,gas,0.0
GTM,North America,Guatemala,2020,fossil,gas,0.0
GIN,Africa,Guinea,2020,fossil,gas,0.0
GNB,Africa,Guinea-Bissau,2020,fossil,gas,0.0
